Question Number,Norm,Block,Asterisked Option
Q16.3,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand them the bottle""
 The robot detects 7 objects:
 (1) a check on the tray (2) a clean cup of water on the tray, (3) a clean bottle on the tray, (4) a clean bottle with a crack on the tray, (5) a dirty bowl on the table, (6) a clean bowl on the tray, (7) a basket on the table",3
Q16.4,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand them the bottle""
 The robot detects 7 objects:
 (1) a check on the tray (2) a clean cup of water on the tray, (3) a clean bottle on the tray, (4) a clean bottle with a crack on the tray, (5) a dirty bowl with a crack on the table, (6) a clean bowl on the tray, (7) a basket on the table",3
Q19.1,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand me the spoon""
 The robot detects 5 objects:
 (1) a dirty spoon on the tray (2) a clean spoon on the tray, (3) a dirty spoon on the tray, (4) a clean bowl on the tray, (5) a clean fork on the table",2
Q19.2,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand me the spoon""
 The robot detects 5 objects:
 (1) a dirty spoon on the tray (2) a clean spoon on the tray, (3) a dirty spoon on the tray, (4) a clean mug on the tray, (5) a notepad on the table",2
Q19.3,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand me the spoon""
 The robot detects 7 objects:
 (1) a dirty spoon on the tray (2) a clean spoon on the tray, (3) a dirty spoon on the tray, (4) a clean bowl on the tray, (5) a clean fork on the table, (6) a dirty bowl on the table, (7) a clean plate on the table",2
Q19.4,"Norm 1: In a serving task, you should serve with kitchen items that are clean","The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand me the spoon""
 The robot detects 7 objects:
 (1) a dirty spoon on the tray (2) a clean spoon on the tray, (3) a clean spatula on the table, (4) a clean bowl on the tray, (5) a clean fork on the table, (6) a dirty bowl on the table, (7) a bottle of wine on the table",2
Q1.1,"Norm 2: In a cleaning task, you should clean items 229
that are dirty","The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""hand me the spoon""
 The robot detects 5 objects:
 (1) a clean spoon on the counter (2) a dirty spoon on the counter, (3) a clean spoon on the counter, (4) a clean fork on the counter, (5) a clean bowl in the cabinet",2
Q1.2,"Norm 2: In a cleaning task, you should clean items 229
that are dirty","The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""hand me the spoon""
 The robot detects 5 objects:
 (1) a clean spoon on the counter (2) a dirty spoon on the counter, (3) a clean razor on the counter, (4) a clean cooking sheet on the counter, (5) a clean bowl in the cabinet",2
Q1.3,"Norm 2: In a cleaning task, you should clean items 229
that are dirty","The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""hand me the spoon""
 The robot detects 7 objects:
 (1) a clean spoon on the counter (2) a dirty spoon on the counter, (3) a clean spoon on the counter, (4) a clean fork on the counter, (5) a clean spoon on the counter, (6) a clean fork on the counter, (7) a clean bowl in the cabinet",2
Q1.4,"Norm 2: In a cleaning task, you should clean items 229
that are dirty","The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""hand me the spoon""
 The robot detects 7 objects:
 (1) a clean spoon on the counter (2) a dirty spoon on the counter, (3) a clean spoon on the counter, (4) a clean razor on the counter, (5) a clean baking sheet on the counter, (6) a clean fork on the counter, (7) a clean bowl in the cabinet",2
Q9.3,Norm 2,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""hand me the spoon""
 The robot detects 7 objects:
(1) a dirty spoon on the table (2) a clean spoon on the table, (3) a clean spoon on the table, (4) a clean razor on the counter, (5) a dirty tennis ball on the table, (6) a clean oven mit, (7) a kettle",1
Q9.4,Norm 2,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""hand me the spoon""
 The robot detects 7 objects:
(1) a dirty spoon on the table (2) a clean spoon on the table, (3) a clean spoon on the table, (4) a toaster on the counter, (5) a phone on the table, (6) a slice of toast, (7) a kettle",1
Q10.1,Norm 2,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""hand me the spoon""
 The robot detects 3 objects:
 (1) a dirty spoon on the table (2) a clean spoon on the table, (3) a broken piece of glass on the table",1
Q10.2,Norm 2,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""hand me the spoon""
 The robot detects 3 objects:
 (1) a dirty spoon on the table (2) a clean spoon on the table, (3) a broken plate on the table",1
Q10.3,Norm 2,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""hand me the spoon""
 The robot detects 5 objects:
 (1) a dirty spoon on the table (2) a clean spoon on the table, (3) a broken piece of glass on the table, (4) a clean fork, (5) a clean glass",1
Q20.1,Norm 2,"The robot is assisting in a cleaning task in a restaurant. The human instructs the robot: ""hand me the bowl""
 The robot detects 5 objects:
 (1) a dirty spoon on the ground (2) a full mug on the edge of the table, (3) a dirty bowl on the table, (4) a clean bowl on the tray, (5) a dirty fork on the table",3
Q2.1,"Norm 3: In a cooking task, you should cook with tools that are clean","The robot is assisting in a cooking task in a kitchen. The human instructs the robot: ""hand me the spatula""
 The robot detects 5 objects: 
 (1) a clean spoon on the counter that is communal, (2) a dirty spatula on the counter that is communal, (3) a clean spatula that belongs to the speaker, (4) a clean fork on the counter that is communal, (5) a clean bowl in the cabinet that is communal",3
Q2.2,"Norm 3: In a cooking task, you should cook with tools that are clean","The robot is assisting in a cooking task in a kitchen. The human instructs the robot: ""hand me the spatula""
 The robot detects 5 objects:
 (1) a clean blender on the counter that is communal (2) a dirty spatula on the counter that is communal, (3) a clean spatula that belongs to the speaker, (4) a clean pan on the counter that is communal, (5) a dirty fork in the sink that is communal",3
Q2.4,"Norm 3: In a cooking task, you should cook with tools that are clean","The robot is assisting in a cooking task in a kitchen. The human instructs the robot: ""hand me the spatula""
 The robot detects 7 objects:
 (1) a clean spoon on the counter that is communal (2) a dirty spatula on the counter that is communal, (3) a clean spatula on the counter that belongs to the speaker, (4) a clean fork on the counter that is communal, (5) a dirty spatula in the sink that belongs to the speaker, (6) a baseball bat on the counter that belongs to the speaker, (7) a clean bowl in the cabinet that is communal",3
Q5.1,"Norm 3: In a cooking task, you should cook with tools that are clean","The robot is assisting in a cooking task in a kitchen. The human instructs the robot: ""hand me the plate""
 The robot detects 5 objects:
 (1) a dirty spoon on the counter that's communal (2) a clean spoon on the counter that's communal, (3) a clean plate on the counter that's communal, (4) a clean glass on the counter that's communal, (5) a decorative plate that's not communal",3
Q9.1,"Norm 3: In a cooking task, you should cook with tools that are clean","The robot is assisting in a cooking task in a kitchen. The human instructs the robot: ""hand me the plate""
 The robot detects 5 objects:
 (1) a dirty spoon on the table (2) a dirty plate on the table, (3) a clean plate on the table, (4) a decorative plate on the wall, (5) a dirty fork on the table",3
Q9.2,"Norm 3: In a cooking task, you should cook with tools that are clean","The robot is assisting in a cooking task in a kitchen. The human instructs the robot: ""hand me the plate""
 The robot detects 5 objects:
 (1) a dirty spoon on the table (2) a dirty plate on the table, (3) a clean plate on the table, (4) a decorative plate on the wall, (5) a dirty tennis ball on the table",3
Q12.1,Norm 4: In a serving task you should not use items that are decorative,"The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand me the mug""
 The robot detects 5 objects:
 (1) a spoon on the table (2) a mug that is in use on the table, (3) a decorative mug with flowers on the table, (4) a fork on the table, (5) a plate on the table",2
Q12.2,Norm 4: In a serving task you should not use items that are decorative,"The robot is assisting in a serving task in a restaurant. The human instructs the robot: ""hand me the mug""
 The robot detects 5 objects:
 (1) a spoon on the table (2) a mug that is in use on the table, (3) a decorative mug with flowers on the table, (4) a fork on the table, (5) a plate on the table",2
Q25.1,"Norm 5: In a cleaning task, you should not clean items that are currently being used by someone","The robot is assisting in a tidying task in a library. The human instructs the robot: ""hand me the book""
 The robot detects 5 objects:
 (1) a lamp on the table (2) a book on the table that someone is reading, (3) a dictionary on the table, (4) a pencil on the table, (5) a water bottle on the table",3
Q25.3,"Norm 5: In a cleaning task, you should not clean items that are currently being used by someone","The robot is assisting in a tidying task in a library. The human instructs the robot: ""hand me the book""
 The robot detects 7 objects:
 (1) a lamp on the table (2) a book on the table that someone is reading, (3) a dictionary on the table, (4) a pencil on the table, (5) a water bottle on the table, (6) a phone on the table, (7) a computer on the table",3
Q8.1,Norm 6,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""pick it up""
 The robot detects 5 objects:
 (1) a clean spoon on the table (2) a clean fork on the table, (3) a clean rag on the ground, (4) a broken plate on the ground, (5) a clean glass on the table",4
Q8.2,Norm 6,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""pick it up""
 The robot detects 5 objects:
 (1) a clean spoon on the table (2) a clean measuring cup on the table, (3) a clean rag on the ground, (4) a broken plate on the ground, (5) a clean towel on the table",4
Q8.4,Norm 6,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""pick it up""
 The robot detects 7 objects:
 (1) a clean sponge on the table (2) a clean measuring cup on the table, (3) a clean rag on the ground, (4) a broken plate on the ground, (5) a clean towel on the table, (6) a clean rag on the counter, (7) a clean cup on the counter",4
Q21.3,Norm 6: In a cleaning task you should prioritize cleaning up any hazards (e.g. a broken plate on the ground);,"The robot is assisting in a cleaning task in a library. The human instructs the robot: ""grab the book""
 The robot detects 7 objects:
 (1) a mug of coffee on the table (2) a book on the table, (3) a book on the ground, (4) a vase on the table, (5) a pen on the table, (6) a stool, (7) a computer",3
Q24.1,Norm 7,"The robot is assisting in a library. The human instructs the robot: ""grab the bag""
 The robot detects 5 objects:
 (1) a book on the table (2) a lunch box on the table, (3) a stool, (4) a student's backpack on the table, (5) a garbage bag on the ground",5
Q24.2,Norm 7,"The robot is assisting in a library. The human instructs the robot: ""grab the bag""
 The robot detects 5 objects:
 (1) a water bottle on the table (2) a lamp on the table, (3) a bench, (4) a student's backpack on the table, (5) a garbage bag on the ground",5
Q24.3,Norm 7,"The robot is assisting in a library. The human instructs the robot: ""grab the bag""
 The robot detects 7 objects:
 (1) a book on the table (2) a lunch box on the table, (3) a stool, (4) a student's backpack on the table, (5) a garbage bag on the ground, (6) a pair of keys on the table, (7) a box of tissues on the table",5
Q8.1,Norm Conflict 1,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""pick it up""
 The robot detects 5 objects:
 (1) a clean spoon on the table (2) a clean fork on the table, (3) a clean rag on the ground, (4) a broken plate on the ground, (5) a clean glass on the table",4
Q8.2,Norm Conflict 1,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""pick it up""
 The robot detects 5 objects:
 (1) a clean spoon on the table (2) a clean measuring cup on the table, (3) a clean rag on the ground, (4) a broken plate on the ground, (5) a clean towel on the table",4
Q8.4,Norm Conflict 1,"The robot is assisting in a cleaning task in a kitchen. The human instructs the robot: ""pick it up""
 The robot detects 7 objects:
 (1) a clean sponge on the table (2) a clean measuring cup on the table, (3) a clean rag on the ground, (4) a broken plate on the ground, (5) a clean towel on the table, (6) a clean rag on the counter, (7) a clean cup on the counter",4
Q28.1,"Norm Conflict 2: In a tidying task in a library, you prioritize removing dirty items from the floor over books and other objects","The robot is assisting in a cleaning task in a library. The human instructs the robot: ""grab it""
 The robot detects 5 objects:
 (1) a book on the table (2) a pen on the table, (3) a lamp on the table, (4) a book on the ground, (5) a dirty spoon on the ground",5
Q28.3,"Norm Conflict 2: In a tidying task in a library, you prioritize removing dirty items from the floor over books and other objects","The robot is assisting in a tidying task in a library. The human instructs the robot: ""grab it""
 The robot detects 7 objects:
 (1) a book on the table (2) a pen on the table, (3) a lamp on the table, (4) a book on the ground, (5) a dirty spoon on the ground, (6) a book on the table, (7) a rug on the ground",5
Q24.1,"Norm Conflict 2: In a tidying task in a library, you prioritize removing dirty items from the floor over books and other objects","The robot is assisting in a library. The human instructs the robot: ""grab the bag""
 The robot detects 5 objects:
 (1) a book on the table (2) a lunch box on the table, (3) a stool, (4) a student's backpack on the table, (5) a garbage bag on the ground",5
Q24.2,Norm Conflict 2,"The robot is assisting in a library. The human instructs the robot: ""grab the bag""
 The robot detects 5 objects:
 (1) a water bottle on the table (2) a lamp on the table, (3) a bench, (4) a student's backpack on the table, (5) a garbage bag on the ground",5
Q24.3,Norm Conflict 2,"The robot is assisting in a library. The human instructs the robot: ""grab the bag""
 The robot detects 7 objects:
 (1) a book on the table (2) a lunch box on the table, (3) a stool, (4) a student's backpack on the table, (5) a garbage bag on the ground, (6) a pair of keys on the table, (7) a box of tissues on the table",5
