prompt,name_pair,location,task,prolog,referring_expression,referent_object,referent_natural
"Casey and Skyler are in the garden. Casey is cooking. Skyler is next to lamp, plant, clean spoon, dirty spoon, book, used spoon. Casey asks Skyler to hand them the spoon.",Casey and Skyler,garden,cooking,"setting(garden).
task(cooking).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, lamp).
object(obj2).
property(obj2, plant).
object(obj3).
property(obj3, clean).
property(obj3, spoon).
object(obj4).
property(obj4, dirty).
property(obj4, spoon).
object(obj5).
property(obj5, book).
object(obj6).
property(obj6, used).
property(obj6, spoon).
referring_expression(the_spoon).",the spoon,object3,clean spoon
"Morgan and Riley are in the dining room. Morgan is cooking. Riley is next to flashlight, bottle opener, clean cup, dirty cup, pair of scissors. Morgan asks Riley to hand them the cup.",Morgan and Riley,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, flashlight).
object(obj2).
property(obj2, bottle).
property(obj2, opener).
object(obj3).
property(obj3, clean).
property(obj3, cup).
object(obj4).
property(obj4, dirty).
property(obj4, cup).
object(obj5).
property(obj5, pair).
property(obj5, of).
property(obj5, scissors).
referring_expression(the_cup).",the cup,object3,clean cup
"Casey and Skyler are in the garden. Casey is cooking. Skyler is next to greasy plate, clean plate, dirty plate, plant, book, lamp. Casey asks Skyler to hand them the plate.",Casey and Skyler,garden,cooking,"setting(garden).
task(cooking).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, greasy).
property(obj1, plate).
object(obj2).
property(obj2, clean).
property(obj2, plate).
object(obj3).
property(obj3, dirty).
property(obj3, plate).
object(obj4).
property(obj4, plant).
object(obj5).
property(obj5, book).
object(obj6).
property(obj6, lamp).
referring_expression(the_plate).",the plate,object2,clean plate
"Cameron and Charlie are in the kitchen. Cameron is cooking. Charlie is next to used spoon, dirty spoon, throw pillow, magazine, clean spoon, remote control. Cameron asks Charlie to hand them the spoon.",Cameron and Charlie,kitchen,cooking,"setting(kitchen).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, used).
property(obj1, spoon).
object(obj2).
property(obj2, dirty).
property(obj2, spoon).
object(obj3).
property(obj3, throw).
property(obj3, pillow).
object(obj4).
property(obj4, magazine).
object(obj5).
property(obj5, clean).
property(obj5, spoon).
object(obj6).
property(obj6, remote).
property(obj6, control).
referring_expression(the_spoon).",the spoon,object5,clean spoon
"Cameron and Charlie are in the dining room. Cameron is cooking. Charlie is next to document, clean mug, dirty mug, paper clip, stapler, used mug, greasy mug. Cameron asks Charlie to hand them the mug.",Cameron and Charlie,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, document).
object(obj2).
property(obj2, clean).
property(obj2, mug).
object(obj3).
property(obj3, dirty).
property(obj3, mug).
object(obj4).
property(obj4, paper).
property(obj4, clip).
object(obj5).
property(obj5, stapler).
object(obj6).
property(obj6, used).
property(obj6, mug).
object(obj7).
property(obj7, greasy).
property(obj7, mug).
referring_expression(the_mug).",the mug,object2,clean mug
"Cameron and Charlie are in the garden. Cameron is cooking. Charlie is next to bottle opener, pair of scissors, flashlight, dirty fork, greasy fork, clean fork. Cameron asks Charlie to hand them the fork.",Cameron and Charlie,garden,cooking,"setting(garden).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, bottle).
property(obj1, opener).
object(obj2).
property(obj2, pair).
property(obj2, of).
property(obj2, scissors).
object(obj3).
property(obj3, flashlight).
object(obj4).
property(obj4, dirty).
property(obj4, fork).
object(obj5).
property(obj5, greasy).
property(obj5, fork).
object(obj6).
property(obj6, clean).
property(obj6, fork).
referring_expression(the_fork).",the fork,object6,clean fork
"Cameron and Charlie are in the dining room. Cameron is cooking. Charlie is next to rolling pin, dirty cup, clean cup, dirty pan, grater. Cameron asks Charlie to hand them the cup.",Cameron and Charlie,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, rolling).
property(obj1, pin).
object(obj2).
property(obj2, dirty).
property(obj2, cup).
object(obj3).
property(obj3, clean).
property(obj3, cup).
object(obj4).
property(obj4, dirty).
property(obj4, pan).
object(obj5).
property(obj5, grater).
referring_expression(the_cup).",the cup,object3,clean cup
"Cameron and Charlie are in the dining room. Cameron is cooking. Charlie is next to clean plate, dirty plate, pen, greasy plate, calculator, notebook, used plate. Cameron asks Charlie to hand them the plate.",Cameron and Charlie,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, clean).
property(obj1, plate).
object(obj2).
property(obj2, dirty).
property(obj2, plate).
object(obj3).
property(obj3, pen).
object(obj4).
property(obj4, greasy).
property(obj4, plate).
object(obj5).
property(obj5, calculator).
object(obj6).
property(obj6, notebook).
object(obj7).
property(obj7, used).
property(obj7, plate).
referring_expression(the_plate).",the plate,object1,clean plate
"Alex and Bailey are in the living room. Alex is cooking. Bailey is next to broom, dustpan, empty spray bottle, dirty plate, clean plate. Alex asks Bailey to hand them the plate.",Alex and Bailey,living room,cooking,"setting(living_room).
task(cooking).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, broom).
object(obj2).
property(obj2, dustpan).
object(obj3).
property(obj3, empty).
property(obj3, spray).
property(obj3, bottle).
object(obj4).
property(obj4, dirty).
property(obj4, plate).
object(obj5).
property(obj5, clean).
property(obj5, plate).
referring_expression(the_plate).",the plate,object5,clean plate
"Cameron and Charlie are in the restaurant. Cameron is cooking. Charlie is next to snack bar, clean spoon, dirty spoon, water bottle, cookie. Cameron asks Charlie to hand them the spoon.",Cameron and Charlie,restaurant,cooking,"setting(restaurant).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, snack).
property(obj1, bar).
object(obj2).
property(obj2, clean).
property(obj2, spoon).
object(obj3).
property(obj3, dirty).
property(obj3, spoon).
object(obj4).
property(obj4, water).
property(obj4, bottle).
object(obj5).
property(obj5, cookie).
referring_expression(the_spoon).",the spoon,object2,clean spoon
"Casey and Skyler are in the restaurant. Casey is cooking. Skyler is next to greasy fork, used fork, clean fork, water bottle, snack bar, cookie, dirty fork. Casey asks Skyler to hand them the fork.",Casey and Skyler,restaurant,cooking,"setting(restaurant).
task(cooking).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, greasy).
property(obj1, fork).
object(obj2).
property(obj2, used).
property(obj2, fork).
object(obj3).
property(obj3, clean).
property(obj3, fork).
object(obj4).
property(obj4, water).
property(obj4, bottle).
object(obj5).
property(obj5, snack).
property(obj5, bar).
object(obj6).
property(obj6, cookie).
object(obj7).
property(obj7, dirty).
property(obj7, fork).
referring_expression(the_fork).",the fork,object3,clean fork
"Morgan and Riley are in the kitchen. Morgan is cooking. Riley is next to snack bar, clean mug, dirty mug, water bottle, cookie, used mug. Morgan asks Riley to hand them the mug.",Morgan and Riley,kitchen,cooking,"setting(kitchen).
task(cooking).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, snack).
property(obj1, bar).
object(obj2).
property(obj2, clean).
property(obj2, mug).
object(obj3).
property(obj3, dirty).
property(obj3, mug).
object(obj4).
property(obj4, water).
property(obj4, bottle).
object(obj5).
property(obj5, cookie).
object(obj6).
property(obj6, used).
property(obj6, mug).
referring_expression(the_mug).",the mug,object2,clean mug
"Alex and Bailey are in the banquet hall. Alex is cooking. Bailey is next to dirty mug, greasy mug, dirty pan, clean mug, rolling pin, grater. Alex asks Bailey to hand them the mug.",Alex and Bailey,banquet hall,cooking,"setting(banquet_hall).
task(cooking).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, dirty).
property(obj1, mug).
object(obj2).
property(obj2, greasy).
property(obj2, mug).
object(obj3).
property(obj3, dirty).
property(obj3, pan).
object(obj4).
property(obj4, clean).
property(obj4, mug).
object(obj5).
property(obj5, rolling).
property(obj5, pin).
object(obj6).
property(obj6, grater).
referring_expression(the_mug).",the mug,object4,clean mug
"Alex and Bailey are in the banquet hall. Alex is cooking. Bailey is next to magazine, remote control, dirty plate, clean plate, throw pillow. Alex asks Bailey to hand them the plate.",Alex and Bailey,banquet hall,cooking,"setting(banquet_hall).
task(cooking).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, magazine).
object(obj2).
property(obj2, remote).
property(obj2, control).
object(obj3).
property(obj3, dirty).
property(obj3, plate).
object(obj4).
property(obj4, clean).
property(obj4, plate).
object(obj5).
property(obj5, throw).
property(obj5, pillow).
referring_expression(the_plate).",the plate,object4,clean plate
"Cameron and Charlie are in the kitchen. Cameron is cooking. Charlie is next to clean plate, used plate, pair of scissors, bottle opener, flashlight, dirty plate. Cameron asks Charlie to hand them the plate.",Cameron and Charlie,kitchen,cooking,"setting(kitchen).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, clean).
property(obj1, plate).
object(obj2).
property(obj2, used).
property(obj2, plate).
object(obj3).
property(obj3, pair).
property(obj3, of).
property(obj3, scissors).
object(obj4).
property(obj4, bottle).
property(obj4, opener).
object(obj5).
property(obj5, flashlight).
object(obj6).
property(obj6, dirty).
property(obj6, plate).
referring_expression(the_plate).",the plate,object1,clean plate
"Jordan and Taylor are in the living room. Jordan is cooking. Taylor is next to clean bowl, used bowl, hammer, dirty bowl, screwdriver, greasy bowl, wrench. Jordan asks Taylor to hand them the bowl.",Jordan and Taylor,living room,cooking,"setting(living_room).
task(cooking).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, clean).
property(obj1, bowl).
object(obj2).
property(obj2, used).
property(obj2, bowl).
object(obj3).
property(obj3, hammer).
object(obj4).
property(obj4, dirty).
property(obj4, bowl).
object(obj5).
property(obj5, screwdriver).
object(obj6).
property(obj6, greasy).
property(obj6, bowl).
object(obj7).
property(obj7, wrench).
referring_expression(the_bowl).",the bowl,object1,clean bowl
"Jordan and Taylor are in the banquet hall. Jordan is cooking. Taylor is next to used cup, banana, bread, dirty cup, apple, clean cup. Jordan asks Taylor to hand them the cup.",Jordan and Taylor,banquet hall,cooking,"setting(banquet_hall).
task(cooking).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, used).
property(obj1, cup).
object(obj2).
property(obj2, banana).
object(obj3).
property(obj3, bread).
object(obj4).
property(obj4, dirty).
property(obj4, cup).
object(obj5).
property(obj5, apple).
object(obj6).
property(obj6, clean).
property(obj6, cup).
referring_expression(the_cup).",the cup,object6,clean cup
"Morgan and Riley are in the living room. Morgan is cooking. Riley is next to water bottle, snack bar, dirty spoon, cookie, used spoon, clean spoon. Morgan asks Riley to hand them the spoon.",Morgan and Riley,living room,cooking,"setting(living_room).
task(cooking).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, water).
property(obj1, bottle).
object(obj2).
property(obj2, snack).
property(obj2, bar).
object(obj3).
property(obj3, dirty).
property(obj3, spoon).
object(obj4).
property(obj4, cookie).
object(obj5).
property(obj5, used).
property(obj5, spoon).
object(obj6).
property(obj6, clean).
property(obj6, spoon).
referring_expression(the_spoon).",the spoon,object6,clean spoon
"Morgan and Riley are in the kitchen. Morgan is cooking. Riley is next to clean mug, book, plant, used mug, dirty mug, lamp. Morgan asks Riley to hand them the mug.",Morgan and Riley,kitchen,cooking,"setting(kitchen).
task(cooking).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, clean).
property(obj1, mug).
object(obj2).
property(obj2, book).
object(obj3).
property(obj3, plant).
object(obj4).
property(obj4, used).
property(obj4, mug).
object(obj5).
property(obj5, dirty).
property(obj5, mug).
object(obj6).
property(obj6, lamp).
referring_expression(the_mug).",the mug,object1,clean mug
"Casey and Skyler are in the garden. Casey is cooking. Skyler is next to notebook, dirty spoon, calculator, pen, clean spoon, greasy spoon. Casey asks Skyler to hand them the spoon.",Casey and Skyler,garden,cooking,"setting(garden).
task(cooking).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, notebook).
object(obj2).
property(obj2, dirty).
property(obj2, spoon).
object(obj3).
property(obj3, calculator).
object(obj4).
property(obj4, pen).
object(obj5).
property(obj5, clean).
property(obj5, spoon).
object(obj6).
property(obj6, greasy).
property(obj6, spoon).
referring_expression(the_spoon).",the spoon,object5,clean spoon
"Jordan and Taylor are in the dining room. Jordan is cooking. Taylor is next to dirty mug, grater, dirty pan, clean mug, rolling pin, used mug. Jordan asks Taylor to hand them the mug.",Jordan and Taylor,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, dirty).
property(obj1, mug).
object(obj2).
property(obj2, grater).
object(obj3).
property(obj3, dirty).
property(obj3, pan).
object(obj4).
property(obj4, clean).
property(obj4, mug).
object(obj5).
property(obj5, rolling).
property(obj5, pin).
object(obj6).
property(obj6, used).
property(obj6, mug).
referring_expression(the_mug).",the mug,object4,clean mug
"Casey and Skyler are in the dining room. Casey is cooking. Skyler is next to dirty pan, dirty plate, rolling pin, grater, clean plate. Casey asks Skyler to hand them the plate.",Casey and Skyler,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, dirty).
property(obj1, pan).
object(obj2).
property(obj2, dirty).
property(obj2, plate).
object(obj3).
property(obj3, rolling).
property(obj3, pin).
object(obj4).
property(obj4, grater).
object(obj5).
property(obj5, clean).
property(obj5, plate).
referring_expression(the_plate).",the plate,object5,clean plate
"Jordan and Taylor are in the banquet hall. Jordan is cooking. Taylor is next to bottle opener, flashlight, clean mug, pair of scissors, dirty mug. Jordan asks Taylor to hand them the mug.",Jordan and Taylor,banquet hall,cooking,"setting(banquet_hall).
task(cooking).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, bottle).
property(obj1, opener).
object(obj2).
property(obj2, flashlight).
object(obj3).
property(obj3, clean).
property(obj3, mug).
object(obj4).
property(obj4, pair).
property(obj4, of).
property(obj4, scissors).
object(obj5).
property(obj5, dirty).
property(obj5, mug).
referring_expression(the_mug).",the mug,object3,clean mug
"Casey and Skyler are in the dining room. Casey is cooking. Skyler is next to empty spray bottle, dirty spoon, clean spoon, used spoon, dustpan, broom. Casey asks Skyler to hand them the spoon.",Casey and Skyler,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, empty).
property(obj1, spray).
property(obj1, bottle).
object(obj2).
property(obj2, dirty).
property(obj2, spoon).
object(obj3).
property(obj3, clean).
property(obj3, spoon).
object(obj4).
property(obj4, used).
property(obj4, spoon).
object(obj5).
property(obj5, dustpan).
object(obj6).
property(obj6, broom).
referring_expression(the_spoon).",the spoon,object3,clean spoon
"Morgan and Riley are in the banquet hall. Morgan is cooking. Riley is next to dirty bowl, flashlight, bottle opener, greasy bowl, used bowl, clean bowl, pair of scissors. Morgan asks Riley to hand them the bowl.",Morgan and Riley,banquet hall,cooking,"setting(banquet_hall).
task(cooking).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, dirty).
property(obj1, bowl).
object(obj2).
property(obj2, flashlight).
object(obj3).
property(obj3, bottle).
property(obj3, opener).
object(obj4).
property(obj4, greasy).
property(obj4, bowl).
object(obj5).
property(obj5, used).
property(obj5, bowl).
object(obj6).
property(obj6, clean).
property(obj6, bowl).
object(obj7).
property(obj7, pair).
property(obj7, of).
property(obj7, scissors).
referring_expression(the_bowl).",the bowl,object6,clean bowl
"Alex and Bailey are in the restaurant. Alex is cooking. Bailey is next to pair of scissors, dirty spoon, flashlight, clean spoon, bottle opener. Alex asks Bailey to hand them the spoon.",Alex and Bailey,restaurant,cooking,"setting(restaurant).
task(cooking).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, pair).
property(obj1, of).
property(obj1, scissors).
object(obj2).
property(obj2, dirty).
property(obj2, spoon).
object(obj3).
property(obj3, flashlight).
object(obj4).
property(obj4, clean).
property(obj4, spoon).
object(obj5).
property(obj5, bottle).
property(obj5, opener).
referring_expression(the_spoon).",the spoon,object4,clean spoon
"Alex and Bailey are in the kitchen. Alex is cooking. Bailey is next to clean fork, greasy fork, wrench, dirty fork, hammer, screwdriver. Alex asks Bailey to hand them the fork.",Alex and Bailey,kitchen,cooking,"setting(kitchen).
task(cooking).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, clean).
property(obj1, fork).
object(obj2).
property(obj2, greasy).
property(obj2, fork).
object(obj3).
property(obj3, wrench).
object(obj4).
property(obj4, dirty).
property(obj4, fork).
object(obj5).
property(obj5, hammer).
object(obj6).
property(obj6, screwdriver).
referring_expression(the_fork).",the fork,object1,clean fork
"Alex and Bailey are in the restaurant. Alex is cooking. Bailey is next to wrench, hammer, screwdriver, clean bowl, dirty bowl, used bowl. Alex asks Bailey to hand them the bowl.",Alex and Bailey,restaurant,cooking,"setting(restaurant).
task(cooking).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, wrench).
object(obj2).
property(obj2, hammer).
object(obj3).
property(obj3, screwdriver).
object(obj4).
property(obj4, clean).
property(obj4, bowl).
object(obj5).
property(obj5, dirty).
property(obj5, bowl).
object(obj6).
property(obj6, used).
property(obj6, bowl).
referring_expression(the_bowl).",the bowl,object4,clean bowl
"Cameron and Charlie are in the kitchen. Cameron is cooking. Charlie is next to pen, calculator, dirty cup, greasy cup, clean cup, notebook. Cameron asks Charlie to hand them the cup.",Cameron and Charlie,kitchen,cooking,"setting(kitchen).
task(cooking).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, pen).
object(obj2).
property(obj2, calculator).
object(obj3).
property(obj3, dirty).
property(obj3, cup).
object(obj4).
property(obj4, greasy).
property(obj4, cup).
object(obj5).
property(obj5, clean).
property(obj5, cup).
object(obj6).
property(obj6, notebook).
referring_expression(the_cup).",the cup,object5,clean cup
"Alex and Bailey are in the dining room. Alex is cooking. Bailey is next to greasy cup, bread, clean cup, apple, used cup, banana, dirty cup. Alex asks Bailey to hand them the cup.",Alex and Bailey,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, greasy).
property(obj1, cup).
object(obj2).
property(obj2, bread).
object(obj3).
property(obj3, clean).
property(obj3, cup).
object(obj4).
property(obj4, apple).
object(obj5).
property(obj5, used).
property(obj5, cup).
object(obj6).
property(obj6, banana).
object(obj7).
property(obj7, dirty).
property(obj7, cup).
referring_expression(the_cup).",the cup,object3,clean cup
"Alex and Bailey are in the banquet hall. Alex is cooking. Bailey is next to calculator, dirty fork, pen, clean fork, used fork, notebook. Alex asks Bailey to hand them the fork.",Alex and Bailey,banquet hall,cooking,"setting(banquet_hall).
task(cooking).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, calculator).
object(obj2).
property(obj2, dirty).
property(obj2, fork).
object(obj3).
property(obj3, pen).
object(obj4).
property(obj4, clean).
property(obj4, fork).
object(obj5).
property(obj5, used).
property(obj5, fork).
object(obj6).
property(obj6, notebook).
referring_expression(the_fork).",the fork,object4,clean fork
"Morgan and Riley are in the dining room. Morgan is cooking. Riley is next to flashlight, dirty fork, clean fork, pair of scissors, used fork, bottle opener. Morgan asks Riley to hand them the fork.",Morgan and Riley,dining room,cooking,"setting(dining_room).
task(cooking).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, flashlight).
object(obj2).
property(obj2, dirty).
property(obj2, fork).
object(obj3).
property(obj3, clean).
property(obj3, fork).
object(obj4).
property(obj4, pair).
property(obj4, of).
property(obj4, scissors).
object(obj5).
property(obj5, used).
property(obj5, fork).
object(obj6).
property(obj6, bottle).
property(obj6, opener).
referring_expression(the_fork).",the fork,object3,clean fork
