prompt,name_pair,location,task,prolog,referring_expression,referent_object,referent_natural
"Morgan and Riley are in the kitchen. Morgan is serving. Riley is next to throw pillow, tray, decorative tray, magazine, decorative tray, remote control, decorative tray. Morgan asks Riley to hand them the tray.",Morgan and Riley,kitchen,serving,"setting(kitchen).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, throw).
property(obj1, pillow).
object(obj2).
property(obj2, tray).
object(obj3).
property(obj3, decorative).
property(obj3, tray).
object(obj4).
property(obj4, magazine).
object(obj5).
property(obj5, decorative).
property(obj5, tray).
object(obj6).
property(obj6, remote).
property(obj6, control).
object(obj7).
property(obj7, decorative).
property(obj7, tray).
referring_expression(the_tray).",the tray,object2,tray
"Jordan and Taylor are in the kitchen. Jordan is serving. Taylor is next to decorative mug, flashlight, bottle opener, pair of scissors, mug. Jordan asks Taylor to hand them the mug.",Jordan and Taylor,kitchen,serving,"setting(kitchen).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, decorative).
property(obj1, mug).
object(obj2).
property(obj2, flashlight).
object(obj3).
property(obj3, bottle).
property(obj3, opener).
object(obj4).
property(obj4, pair).
property(obj4, of).
property(obj4, scissors).
object(obj5).
property(obj5, mug).
referring_expression(the_mug).",the mug,object5,mug
"Casey and Skyler are in the kitchen. Casey is serving. Skyler is next to rolling pin, cup, grater, decorative cup, decorative cup, dirty pan. Casey asks Skyler to hand them the cup.",Casey and Skyler,kitchen,serving,"setting(kitchen).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, rolling).
property(obj1, pin).
object(obj2).
property(obj2, cup).
object(obj3).
property(obj3, grater).
object(obj4).
property(obj4, decorative).
property(obj4, cup).
object(obj5).
property(obj5, decorative).
property(obj5, cup).
object(obj6).
property(obj6, dirty).
property(obj6, pan).
referring_expression(the_cup).",the cup,object2,cup
"Cameron and Charlie are in the living room. Cameron is serving. Charlie is next to decorative bowl, bottle opener, flashlight, decorative bowl, bowl, pair of scissors. Cameron asks Charlie to hand them the bowl.",Cameron and Charlie,living room,serving,"setting(living_room).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, decorative).
property(obj1, bowl).
object(obj2).
property(obj2, bottle).
property(obj2, opener).
object(obj3).
property(obj3, flashlight).
object(obj4).
property(obj4, decorative).
property(obj4, bowl).
object(obj5).
property(obj5, bowl).
object(obj6).
property(obj6, pair).
property(obj6, of).
property(obj6, scissors).
referring_expression(the_bowl).",the bowl,object5,bowl
"Jordan and Taylor are in the living room. Jordan is serving. Taylor is next to dustpan, decorative mug, decorative mug, empty spray bottle, mug, broom. Jordan asks Taylor to hand them the mug.",Jordan and Taylor,living room,serving,"setting(living_room).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, dustpan).
object(obj2).
property(obj2, decorative).
property(obj2, mug).
object(obj3).
property(obj3, decorative).
property(obj3, mug).
object(obj4).
property(obj4, empty).
property(obj4, spray).
property(obj4, bottle).
object(obj5).
property(obj5, mug).
object(obj6).
property(obj6, broom).
referring_expression(the_mug).",the mug,object5,mug
"Alex and Bailey are in the banquet hall. Alex is serving. Bailey is next to decorative bowl, bottle opener, bowl, decorative bowl, flashlight, pair of scissors. Alex asks Bailey to hand them the bowl.",Alex and Bailey,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, decorative).
property(obj1, bowl).
object(obj2).
property(obj2, bottle).
property(obj2, opener).
object(obj3).
property(obj3, bowl).
object(obj4).
property(obj4, decorative).
property(obj4, bowl).
object(obj5).
property(obj5, flashlight).
object(obj6).
property(obj6, pair).
property(obj6, of).
property(obj6, scissors).
referring_expression(the_bowl).",the bowl,object3,bowl
"Cameron and Charlie are in the restaurant. Cameron is serving. Charlie is next to banana, decorative tray, apple, bread, decorative tray, tray. Cameron asks Charlie to hand them the tray.",Cameron and Charlie,restaurant,serving,"setting(restaurant).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, banana).
object(obj2).
property(obj2, decorative).
property(obj2, tray).
object(obj3).
property(obj3, apple).
object(obj4).
property(obj4, bread).
object(obj5).
property(obj5, decorative).
property(obj5, tray).
object(obj6).
property(obj6, tray).
referring_expression(the_tray).",the tray,object6,tray
"Casey and Skyler are in the living room. Casey is serving. Skyler is next to decorative plate, plate, decorative plate, magazine, remote control, throw pillow. Casey asks Skyler to hand them the plate.",Casey and Skyler,living room,serving,"setting(living_room).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, decorative).
property(obj1, plate).
object(obj2).
property(obj2, plate).
object(obj3).
property(obj3, decorative).
property(obj3, plate).
object(obj4).
property(obj4, magazine).
object(obj5).
property(obj5, remote).
property(obj5, control).
object(obj6).
property(obj6, throw).
property(obj6, pillow).
referring_expression(the_plate).",the plate,object2,plate
"Jordan and Taylor are in the banquet hall. Jordan is serving. Taylor is next to mug, decorative mug, whisk, ladle, spatula. Jordan asks Taylor to hand them the mug.",Jordan and Taylor,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, mug).
object(obj2).
property(obj2, decorative).
property(obj2, mug).
object(obj3).
property(obj3, whisk).
object(obj4).
property(obj4, ladle).
object(obj5).
property(obj5, spatula).
referring_expression(the_mug).",the mug,object1,mug
"Jordan and Taylor are in the living room. Jordan is serving. Taylor is next to screwdriver, bowl, decorative bowl, decorative bowl, wrench, decorative bowl, hammer. Jordan asks Taylor to hand them the bowl.",Jordan and Taylor,living room,serving,"setting(living_room).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, screwdriver).
object(obj2).
property(obj2, bowl).
object(obj3).
property(obj3, decorative).
property(obj3, bowl).
object(obj4).
property(obj4, decorative).
property(obj4, bowl).
object(obj5).
property(obj5, wrench).
object(obj6).
property(obj6, decorative).
property(obj6, bowl).
object(obj7).
property(obj7, hammer).
referring_expression(the_bowl).",the bowl,object2,bowl
"Alex and Bailey are in the banquet hall. Alex is serving. Bailey is next to decorative tray, whisk, decorative tray, spatula, tray, ladle. Alex asks Bailey to hand them the tray.",Alex and Bailey,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, decorative).
property(obj1, tray).
object(obj2).
property(obj2, whisk).
object(obj3).
property(obj3, decorative).
property(obj3, tray).
object(obj4).
property(obj4, spatula).
object(obj5).
property(obj5, tray).
object(obj6).
property(obj6, ladle).
referring_expression(the_tray).",the tray,object5,tray
"Alex and Bailey are in the banquet hall. Alex is serving. Bailey is next to dirty pan, decorative mug, grater, mug, decorative mug, rolling pin. Alex asks Bailey to hand them the mug.",Alex and Bailey,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, dirty).
property(obj1, pan).
object(obj2).
property(obj2, decorative).
property(obj2, mug).
object(obj3).
property(obj3, grater).
object(obj4).
property(obj4, mug).
object(obj5).
property(obj5, decorative).
property(obj5, mug).
object(obj6).
property(obj6, rolling).
property(obj6, pin).
referring_expression(the_mug).",the mug,object4,mug
"Alex and Bailey are in the living room. Alex is serving. Bailey is next to plate, decorative plate, cookie, water bottle, decorative plate, snack bar, decorative plate. Alex asks Bailey to hand them the plate.",Alex and Bailey,living room,serving,"setting(living_room).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, plate).
object(obj2).
property(obj2, decorative).
property(obj2, plate).
object(obj3).
property(obj3, cookie).
object(obj4).
property(obj4, water).
property(obj4, bottle).
object(obj5).
property(obj5, decorative).
property(obj5, plate).
object(obj6).
property(obj6, snack).
property(obj6, bar).
object(obj7).
property(obj7, decorative).
property(obj7, plate).
referring_expression(the_plate).",the plate,object1,plate
"Alex and Bailey are in the living room. Alex is serving. Bailey is next to pair of scissors, mug, bottle opener, flashlight, decorative mug, decorative mug. Alex asks Bailey to hand them the mug.",Alex and Bailey,living room,serving,"setting(living_room).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, pair).
property(obj1, of).
property(obj1, scissors).
object(obj2).
property(obj2, mug).
object(obj3).
property(obj3, bottle).
property(obj3, opener).
object(obj4).
property(obj4, flashlight).
object(obj5).
property(obj5, decorative).
property(obj5, mug).
object(obj6).
property(obj6, decorative).
property(obj6, mug).
referring_expression(the_mug).",the mug,object2,mug
"Casey and Skyler are in the restaurant. Casey is serving. Skyler is next to broom, mug, dustpan, decorative mug, empty spray bottle, decorative mug. Casey asks Skyler to hand them the mug.",Casey and Skyler,restaurant,serving,"setting(restaurant).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, broom).
object(obj2).
property(obj2, mug).
object(obj3).
property(obj3, dustpan).
object(obj4).
property(obj4, decorative).
property(obj4, mug).
object(obj5).
property(obj5, empty).
property(obj5, spray).
property(obj5, bottle).
object(obj6).
property(obj6, decorative).
property(obj6, mug).
referring_expression(the_mug).",the mug,object2,mug
"Casey and Skyler are in the banquet hall. Casey is serving. Skyler is next to cup, document, stapler, paper clip, decorative cup. Casey asks Skyler to hand them the cup.",Casey and Skyler,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, cup).
object(obj2).
property(obj2, document).
object(obj3).
property(obj3, stapler).
object(obj4).
property(obj4, paper).
property(obj4, clip).
object(obj5).
property(obj5, decorative).
property(obj5, cup).
referring_expression(the_cup).",the cup,object1,cup
"Alex and Bailey are in the dining room. Alex is serving. Bailey is next to screwdriver, wrench, hammer, decorative bowl, bowl. Alex asks Bailey to hand them the bowl.",Alex and Bailey,dining room,serving,"setting(dining_room).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, screwdriver).
object(obj2).
property(obj2, wrench).
object(obj3).
property(obj3, hammer).
object(obj4).
property(obj4, decorative).
property(obj4, bowl).
object(obj5).
property(obj5, bowl).
referring_expression(the_bowl).",the bowl,object5,bowl
"Morgan and Riley are in the banquet hall. Morgan is serving. Riley is next to decorative mug, spatula, mug, whisk, decorative mug, ladle. Morgan asks Riley to hand them the mug.",Morgan and Riley,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, decorative).
property(obj1, mug).
object(obj2).
property(obj2, spatula).
object(obj3).
property(obj3, mug).
object(obj4).
property(obj4, whisk).
object(obj5).
property(obj5, decorative).
property(obj5, mug).
object(obj6).
property(obj6, ladle).
referring_expression(the_mug).",the mug,object3,mug
"Morgan and Riley are in the living room. Morgan is serving. Riley is next to spatula, decorative plate, decorative plate, whisk, ladle, plate, decorative plate. Morgan asks Riley to hand them the plate.",Morgan and Riley,living room,serving,"setting(living_room).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, spatula).
object(obj2).
property(obj2, decorative).
property(obj2, plate).
object(obj3).
property(obj3, decorative).
property(obj3, plate).
object(obj4).
property(obj4, whisk).
object(obj5).
property(obj5, ladle).
object(obj6).
property(obj6, plate).
object(obj7).
property(obj7, decorative).
property(obj7, plate).
referring_expression(the_plate).",the plate,object6,plate
"Alex and Bailey are in the living room. Alex is serving. Bailey is next to bottle opener, decorative mug, mug, flashlight, decorative mug, pair of scissors. Alex asks Bailey to hand them the mug.",Alex and Bailey,living room,serving,"setting(living_room).
task(serving).
speaker(alex, human).
listener(bailey, human).
object(obj1).
property(obj1, bottle).
property(obj1, opener).
object(obj2).
property(obj2, decorative).
property(obj2, mug).
object(obj3).
property(obj3, mug).
object(obj4).
property(obj4, flashlight).
object(obj5).
property(obj5, decorative).
property(obj5, mug).
object(obj6).
property(obj6, pair).
property(obj6, of).
property(obj6, scissors).
referring_expression(the_mug).",the mug,object3,mug
"Jordan and Taylor are in the garden. Jordan is serving. Taylor is next to rolling pin, decorative plate, grater, plate, decorative plate, dirty pan, decorative plate. Jordan asks Taylor to hand them the plate.",Jordan and Taylor,garden,serving,"setting(garden).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, rolling).
property(obj1, pin).
object(obj2).
property(obj2, decorative).
property(obj2, plate).
object(obj3).
property(obj3, grater).
object(obj4).
property(obj4, plate).
object(obj5).
property(obj5, decorative).
property(obj5, plate).
object(obj6).
property(obj6, dirty).
property(obj6, pan).
object(obj7).
property(obj7, decorative).
property(obj7, plate).
referring_expression(the_plate).",the plate,object4,plate
"Cameron and Charlie are in the living room. Cameron is serving. Charlie is next to decorative tray, ladle, spatula, tray, whisk. Cameron asks Charlie to hand them the tray.",Cameron and Charlie,living room,serving,"setting(living_room).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, decorative).
property(obj1, tray).
object(obj2).
property(obj2, ladle).
object(obj3).
property(obj3, spatula).
object(obj4).
property(obj4, tray).
object(obj5).
property(obj5, whisk).
referring_expression(the_tray).",the tray,object4,tray
"Morgan and Riley are in the living room. Morgan is serving. Riley is next to decorative plate, decorative plate, flashlight, bottle opener, pair of scissors, plate. Morgan asks Riley to hand them the plate.",Morgan and Riley,living room,serving,"setting(living_room).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, decorative).
property(obj1, plate).
object(obj2).
property(obj2, decorative).
property(obj2, plate).
object(obj3).
property(obj3, flashlight).
object(obj4).
property(obj4, bottle).
property(obj4, opener).
object(obj5).
property(obj5, pair).
property(obj5, of).
property(obj5, scissors).
object(obj6).
property(obj6, plate).
referring_expression(the_plate).",the plate,object6,plate
"Jordan and Taylor are in the banquet hall. Jordan is serving. Taylor is next to mug, decorative mug, pair of scissors, decorative mug, bottle opener, flashlight. Jordan asks Taylor to hand them the mug.",Jordan and Taylor,banquet hall,serving,"setting(banquet_hall).
task(serving).
speaker(jordan, human).
listener(taylor, human).
object(obj1).
property(obj1, mug).
object(obj2).
property(obj2, decorative).
property(obj2, mug).
object(obj3).
property(obj3, pair).
property(obj3, of).
property(obj3, scissors).
object(obj4).
property(obj4, decorative).
property(obj4, mug).
object(obj5).
property(obj5, bottle).
property(obj5, opener).
object(obj6).
property(obj6, flashlight).
referring_expression(the_mug).",the mug,object1,mug
"Cameron and Charlie are in the dining room. Cameron is serving. Charlie is next to decorative mug, mug, calculator, pen, decorative mug, notebook. Cameron asks Charlie to hand them the mug.",Cameron and Charlie,dining room,serving,"setting(dining_room).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, decorative).
property(obj1, mug).
object(obj2).
property(obj2, mug).
object(obj3).
property(obj3, calculator).
object(obj4).
property(obj4, pen).
object(obj5).
property(obj5, decorative).
property(obj5, mug).
object(obj6).
property(obj6, notebook).
referring_expression(the_mug).",the mug,object2,mug
"Casey and Skyler are in the restaurant. Casey is serving. Skyler is next to decorative bowl, paint can, paintbrush, bowl, sandpaper. Casey asks Skyler to hand them the bowl.",Casey and Skyler,restaurant,serving,"setting(restaurant).
task(serving).
speaker(casey, human).
listener(skyler, human).
object(obj1).
property(obj1, decorative).
property(obj1, bowl).
object(obj2).
property(obj2, paint).
property(obj2, can).
object(obj3).
property(obj3, paintbrush).
object(obj4).
property(obj4, bowl).
object(obj5).
property(obj5, sandpaper).
referring_expression(the_bowl).",the bowl,object4,bowl
"Morgan and Riley are in the restaurant. Morgan is serving. Riley is next to mug, decorative mug, decorative mug, pen, calculator, notebook. Morgan asks Riley to hand them the mug.",Morgan and Riley,restaurant,serving,"setting(restaurant).
task(serving).
speaker(morgan, human).
listener(riley, human).
object(obj1).
property(obj1, mug).
object(obj2).
property(obj2, decorative).
property(obj2, mug).
object(obj3).
property(obj3, decorative).
property(obj3, mug).
object(obj4).
property(obj4, pen).
object(obj5).
property(obj5, calculator).
object(obj6).
property(obj6, notebook).
referring_expression(the_mug).",the mug,object1,mug
"Cameron and Charlie are in the kitchen. Cameron is serving. Charlie is next to decorative cup, cup, decorative cup, spatula, ladle, whisk. Cameron asks Charlie to hand them the cup.",Cameron and Charlie,kitchen,serving,"setting(kitchen).
task(serving).
speaker(cameron, human).
listener(charlie, human).
object(obj1).
property(obj1, decorative).
property(obj1, cup).
object(obj2).
property(obj2, cup).
object(obj3).
property(obj3, decorative).
property(obj3, cup).
object(obj4).
property(obj4, spatula).
object(obj5).
property(obj5, ladle).
object(obj6).
property(obj6, whisk).
referring_expression(the_cup).",the cup,object2,cup
